Date,Description,Amount
2024-01-02,Swiggy Food Delivery,450
2024-01-03,Metro Card Recharge,500
2024-01-05,Apollo Pharmacy Medicines,890
2024-01-07,PVR Cinemas Movie Tickets,600
2024-01-08,Zomato Dinner Order,720
2024-01-10,Reliance Digital Electronics,15000
2024-01-12,DMart Grocery Shopping,2340
2024-01-14,Ola Auto Ride,85
2024-01-15,Airtel Mobile Postpaid Bill,599
2024-01-17,Cafe Coffee Day,280
2024-01-18,BookMyShow Concert Tickets,1200
2024-01-20,Myntra Fashion Shopping,3450
2024-01-22,Shell Petrol Pump,2100
2024-01-23,Haldiram Snacks,340
2024-01-25,Electricity Bill BESCOM,1850
2024-01-26,Uber Cab to Airport,650
2024-01-28,Decathlon Sports Equipment,4200
2024-01-29,Big Basket Grocery,1680
2024-01-30,Dominos Pizza Party Order,1150
2024-01-31,Spotify Premium Subscription,119
