Date,Description,Amount,Type,Balance,Transaction ID,Merchant Name,Location,DR/CR
2025-05-01,Food from Swiggy,-120.50,Debit,879.50,TXN001,Swiggy,Mumbai,DR
2025-05-02,Uber ride to work,-250.00,Debit,629.50,TXN002,Uber,Bangalore,DR
2025-05-02,Shopping spree on Amazon,-2000.00,Debit,429.50,TXN003,Amazon,Online,DR
2025-05-03,Salary credit from XYZ Corp,5000.00,Credit,5429.50,TXN004,XYZ Corp,Delhi,CR
2025-05-04,Electricity bill payment,-450.00,Debit,4979.50,TXN005,Electricity Co.,Mumbai,DR
2025-05-04,Starbucks coffee,-100.00,Debit,4879.50,TXN006,Starbucks,Delhi,DR
2025-05-05,Ordered lunch on Zomato,-350.00,Debit,4529.50,TXN007,Zomato,Delhi,DR
2025-05-06,ATM withdrawal from ICICI,-2000.00,Debit,2529.50,TXN008,ICICI Bank,Delhi,DR
2025-05-07,Mobile bill payment,-250.00,Debit,2279.50,TXN009,Airtel,Delhi,DR
2025-05-07,Another Swiggy food order,-200.00,Debit,2079.50,TXN010,Swiggy,Hyderabad,DR
2025-05-08,Reimbursement from ABC Corp,1000.00,Credit,3079.50,TXN011,ABC Corp,Chennai,CR
2025-05-08,Netflix monthly subscription,-199.00,Debit,2880.50,TXN012,Netflix,Online,DR
2025-05-09,Train ticket IRCTC,-600.00,Debit,2280.50,TXN013,IRCTC,Hyderabad,DR
2025-05-09,Freelance payment from ClientX,1500.00,Credit,3780.50,TXN014,ClientX,Bangalore,CR
2025-05-10,Myntra clothing haul,-1800.00,Debit,1980.50,TXN015,Myntra,Online,DR
2025-05-10,Flight booking on Indigo,-3000.00,Debit,-1019.50,TXN016,Indigo,Online,DR
2025-05-11,DMart grocery shopping,-600.00,Debit,-1619.50,TXN017,DMart,Mumbai,DR
2025-05-11,Groww investment SIP,-1000.00,Debit,-2619.50,TXN018,Groww,Online,DR
2025-05-12,Hotstar annual subscription,-899.00,Debit,-3518.50,TXN019,Hotstar,Online,DR
2025-05-12,BigBasket essentials,-550.00,Debit,-4068.50,TXN020,BigBasket,Bangalore,DR
2025-05-13,PharmEasy medicine order,-300.00,Debit,-4368.50,TXN021,PharmEasy,Online,DR
2025-05-13,Udemy course purchase,-449.00,Debit,-4817.50,TXN022,Udemy,Online,DR
