Date,Description,Amount
2024-03-01,MakeMyTrip Flight Booking,8500
2024-03-02,OYO Hotel Booking,3200
2024-03-03,Ola Outstation Cab,2400
2024-03-04,Zomato Restaurant Dinner,1850
2024-03-05,INOX Movie Tickets,800
2024-03-06,Wonderla Amusement Park,1500
2024-03-07,Swiggy Breakfast Order,280
2024-03-08,Uber Airport Transfer,950
2024-03-09,Taj Hotel Restaurant,4500
2024-03-10,Rapido Quick Ride,60
2024-03-11,BookMyShow IPL Tickets,2500
2024-03-12,KFC Travel Meal,420
2024-03-13,HP Petrol Pump Highway,2200
2024-03-14,McDonald's Quick Bite,350
2024-03-15,Goibibo Hotel Stay,4800
2024-03-16,Ola Cab City Tour,680
2024-03-17,Dominos Pizza,590
2024-03-18,Cafe Madras Breakfast,240
2024-03-19,Uber Pool Ride,180
2024-03-20,Amazon Prime Video Rental,149
