Date,Description,Amount
2024-02-05,Starbucks Morning Coffee,320
2024-02-05,Rapido Bike Ride,45
2024-02-06,Lenskart Eyeglasses,3500
2024-02-06,KFC Lunch Bucket,550
2024-02-07,Jio Fiber Internet Bill,999
2024-02-07,More Supermarket Groceries,1240
2024-02-08,Tanishq Jewellery,25000
2024-02-08,McDonald's Breakfast,280
2024-02-09,Fortis Hospital Consultation,800
2024-02-09,Medplus Pharmacy,650
2024-02-10,Flipkart Electronics Shopping,8900
2024-02-10,Pizza Hut Dinner,890
2024-02-11,Indian Oil Petrol,1800
2024-02-11,Crossword Bookstore,1450
2024-02-12,Netflix Monthly Subscription,649
2024-02-12,Uber Eats Food Order,520
2024-02-13,Lifestyle Fashion Store,4200
2024-02-13,Barista Coffee,310
2024-02-14,Ferns N Petals Flowers,1200
2024-02-14,Barbeque Nation Dinner,2800
